BMS-ID,AreaNum,OwnerCode,LocationID,,ID,X,Y,AMGX,AMGY,GrpNum,DetNum,Zone,ExitDist,RegionID,Suburb,EnableLogging,VersionNumber,Comment,ApplyThreshHold,ThreshHold,ArrivalLagTime,st1,st2,st3,typ,mnt,sub,lin,ind,con,dwg,cto,cmn,lmn,dmn,atf,ccd,pri,seq,link,vid_site,at,atd,volocc,at_st,at_fi,lcmVers,IntGrpNo,Approaches,Patching,Cost
18040,B8040,B,1701,#N/A,1701,153.026649,-27.469868,502630,6961515,NULL,NULL,NULL,0,2,CITY,Y,1249568143,BCC City MUX Ann/George via fibre to B0022,N,NULL,0,ELIZABETH ST PED AT,WINTERGARTEN,NULL,2,B,0,21,28/02/2008,27,S1/B804,L,Y,Y,Y,N,28/02/2008,N,32,,N,,0000-00-00,Y,0:00:00,0:00:00,L,0,0,,2
18041,B8041,B,872,#N/A,872,99.99999999,-27.448191,503153,6963915,NULL,NULL,NULL,0,6,BOWENHIL,Y,1249568143,Temporary intersection for NSBT project N7005641P Abbotsford Rd hut,N,NULL,0,O'CONNELL TCE,SNEYD ST,NULL,1,B,0,29,7/05/2008,25,,L,N,Y,N,,7/05/2008,,32,,N,,0000-00-00,Y,0:00:00,0:00:00,L,0,0,,1
18042,B8042,B,18214,#N/A,18214,153.03288,-27.44838,503246,6963894,NULL,NULL,NULL,0,6,BOWENHIL,Y,0,3G test13 +61403609519,N,NULL,0,O'CONNELL TCE,LANHAM STREET,NULL,NULL,NULL,NULL,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18043,B8043,NULL,18666,#N/A,18666,153.025677,-27.329505,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,Y,0,NULL,N,NULL,0,Norris rd,Plaza,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18044,B8044,B,1720,#N/A,1720,153.103302,-27.42915,510208,6966024,NULL,NULL,NULL,0,6,PINKENBA,Y,1249568143,Optus 3G test80 +61403609661   SCATS not STREAMS PILOT,N,NULL,0,KINGSFORD SMITH DR,SUGARMILL RD,NULL,2,B,0,32,11/09/2008,27,S1/B804,L,N,Y,N,,11/09/2008,,32,,N,,0000-00-00,Y,0:00:00,0:00:00,L,0,0,,1
18045,B8045,N,1704,#N/A,1704,153.024515,-27.468848,502419,6961628,NULL,NULL,NULL,0,2,CITY,Y,1249568143,E phase is driven by INB SCADA system INB Fibre to BSQ-GSP-02 VLAN232,N,NULL,0,***BUSWAY SITE***,INB ADEL ST ROUNDAB,AT QUEEN ST,1,A,0,54,12/04/2008,27,S1/B804,L,Y,Y,Y,N,12/04/2008,N,32,,N,,0000-00-00,Y,0:00:00,0:00:00,L,0,0,,2
18046,B8046,N,1705,#N/A,1705,153.022502,-27.467205,502220,6961809,NULL,NULL,NULL,0,2,CITY,Y,1249568143,D phase is driven by INB SCADA system INB Fibre to BSQ-GSP-02 VLAN232,N,NULL,0,***BUSWAY SITE***,INB ROUNDABOUT AT,ROMA ST,1,A,0,55,12/04/2008,27,S1/B804,L,Y,Y,Y,N,12/04/2008,N,32,,N,,0000-00-00,Y,0:00:00,0:00:00,L,0,0,,2
18047,B8047,N,1706,#N/A,1706,153.016827,-27.465507,501660,6961997,NULL,NULL,NULL,0,2,CITY,Y,1249568143,D phase is driven by INB SCADA system INB Fibre to BSQ-GSP-02 VLAN232,N,NULL,0,***BUSWAY SITE***,INB COUNTESS ST,TUNNEL ENTRY,1,A,0,56,16/05/2008,27,S1/B804,L,Y,Y,Y,N,16/05/2008,N,32,,N,,0000-00-00,Y,0:00:00,0:00:00,L,0,0,,2
18048,B8048,B,1769,#N/A,1769,152.990912,-27.379791,499098,6971491,NULL,NULL,NULL,0,13,McDowall,Y,1249568143,NULL,N,NULL,0,HAMILTON ROAD,PARAMOUNT CRESCENT,NULL,1,B,0,13,19/06/2009,28,S1/B804,L,Y,Y,Y,Y,19/06/2009,N,32,,Y,,19/06/2009,Y,6:30:00,21:30:00,L,0,2,,4
18049,B8049,B,1768,#N/A,1768,153.00038,-27.38128,500034,6971326,NULL,NULL,NULL,0,13,McDowall,Y,1249568143,3G test64 +61411764085,N,NULL,0,HAMILTON ROAD,TROUTS ROAD,NULL,1,B,0,14,18/06/2009,28,S1/B804,L,N,Y,N,Y,18/06/2009,N,32,,Y,,18/06/2009,Y,6:30:00,21:30:00,L,0,4,,4
18050,B8050,B,18221,#N/A,18221,153.023655,-27.364785,502334,6973153,NULL,NULL,NULL,0,13,ASPLEY,Y,0,No Telstra line installed,N,NULL,0,ROBINSON RD,FERRIER ST,SHOPPING CENTRE ACC,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18051,B8051,B,18222,#N/A,18222,153.043572,-27.312456,504303,6978949,NULL,NULL,NULL,0,6,BRACKEN,Y,0,Special feature for Ambulance access to Bracken Ridge Rd. 3G test14 +61403609536,N,NULL,0,BRACKEN RIDGE ROAD,AT AMBULANCE STATIO,NULL,NULL,NULL,NULL,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18052,B8052,B,1760,#N/A,1760,153.028793,-27.451378,502842,6963562,NULL,NULL,NULL,0,3,HERSTON,Y,1249568143,NULL,N,NULL,0,BOWENBRIDGE ROAD,NORTHERN BUSWAY,SOUTHERN ACCESS,1,B,0,91,30/07/2009,27,,L,Y,Y,Y,Y,30/07/2009,N,32,,Y,,30/07/2009,Y,6:30:00,21:30:00,L,0,1,,2
